Word,fiveStar,fourSar,threeStar,twoStar,oneStar,Score1,Score2
silhouette,38,30,10,9,7,0.6888888888888889,0.6190476190476191
compensation,66,61,107,215,774,-0.8428571428571429,-0.7724014336917563
yusho,27,27,20,10,7,0.5882352941176471,0.5211267605633803
misfortune,63,41,44,63,214,-0.5451263537906137,-0.4540682414698163
lightens,9,7,0,0,2,0.6363636363636364,0.7777777777777778
1015mins,14,10,10,3,10,0.16666666666666666,0.2972972972972973
idling,20,14,13,13,24,-0.09090909090909091,-0.04225352112676056
lightest,126,93,25,7,18,0.75,0.7950819672131147
lighters,40,24,7,6,5,0.7777777777777778,0.7066666666666667
woodys,17,18,9,6,3,0.7,0.5909090909090909
hotcakes,155,190,72,18,17,0.8023255813953488,0.8157894736842105
shepards,203,199,77,59,46,0.6305220883534136,0.5857988165680473
washrooms,58,80,47,22,13,0.6338028169014085,0.5953757225433526
giveaway,44,39,21,26,18,0.41935483870967744,0.30708661417322836
verlassen,10,10,8,7,6,0.25,0.21212121212121213
tracing,9,2,1,3,8,0.058823529411764705,0.0
singlemalt,10,3,2,0,1,0.8181818181818182,0.8571428571428571
cannibalism,4,5,2,4,4,0.0,0.058823529411764705
mufasa,12,9,2,0,0,1.0,1.0
chuchee,8,8,1,0,0,1.0,1.0
finetuned,7,11,4,0,0,1.0,1.0
chronicle,16,2,5,0,2,0.7777777777777778,0.8
elixirs,31,12,3,2,1,0.9375,0.8695652173913043
restoring,117,33,10,12,10,0.84251968503937,0.7441860465116279
3inch,6,6,4,1,7,-0.07692307692307693,0.2
croustillante,10,18,6,2,2,0.6666666666666666,0.75
croustillants,9,14,5,1,1,0.8,0.84
sophisticated,1095,775,283,137,75,0.8717948717948718,0.7963496637848223
cervezas,24,23,11,3,0,1.0,0.88
asianinfluenced,10,9,4,3,1,0.8181818181818182,0.6521739130434783
kampai,27,19,5,15,22,0.10204081632653061,0.10843373493975904
noelin,16,0,0,0,0,1.0,1.0
workouts,1271,266,82,47,30,0.9538816295157571,0.9045848822800495
snackies,8,13,4,0,0,1.0,1.0
jjangas,14,1,6,0,0,1.0,1.0
ahhmazing,38,14,2,0,0,1.0,1.0
noelle,46,12,4,6,11,0.6140350877192983,0.5466666666666666
polished,1031,656,280,168,271,0.5837173579109063,0.5870178739416745
rediscovered,45,53,6,2,1,0.9565217391304348,0.9405940594059405
polisher,3,2,1,3,7,-0.4,-0.3333333333333333
polishes,243,104,66,46,65,0.577922077922078,0.5152838427947598
betwen,5,5,2,3,1,0.6666666666666666,0.42857142857142855
defnitely,25,30,8,4,1,0.9230769230769231,0.8333333333333334
snacking,145,221,85,42,18,0.7791411042944786,0.7183098591549296
gymnastic,25,21,6,4,4,0.7241379310344828,0.7037037037037037
verduras,6,7,5,2,2,0.5,0.5294117647058824
gruyre,35,34,12,9,2,0.8918918918918919,0.725
maligned,8,8,2,3,2,0.6,0.5238095238095238
wildcaught,10,13,3,6,1,0.8181818181818182,0.5333333333333333
discounted,1098,1254,635,398,607,0.2879765395894428,0.40125111706881145
discounter,5,4,2,3,3,0.25,0.2
bobcats,33,106,36,5,3,0.8333333333333334,0.891156462585034
pretended,54,76,61,76,247,-0.6411960132890365,-0.4260485651214128
pretender,3,3,2,5,10,-0.5384615384615384,-0.42857142857142855
shrimpthe,8,10,1,0,3,0.45454545454545453,0.7142857142857143
bouteille,49,70,39,27,19,0.4411764705882353,0.44242424242424244
bothers,167,291,220,181,182,-0.04297994269340974,0.11571254567600488
visitation,11,6,10,3,14,-0.12,0.0
pacanes,8,7,3,1,0,1.0,0.875
chuchai,20,17,4,2,1,0.9047619047619048,0.85
doubleedged,4,8,4,1,1,0.6,0.7142857142857143
rectangles,10,21,9,9,7,0.17647058823529413,0.3191489361702128
tracked,149,98,53,77,183,-0.10240963855421686,-0.02564102564102564
tracker,33,24,5,10,55,-0.25,-0.06557377049180328
aflutter,8,5,1,0,2,0.6,0.7333333333333333
yuuum,19,13,1,1,0,1.0,0.9393939393939394
showstoppers,21,16,17,5,0,1.0,0.7619047619047619
tablewhich,5,3,2,5,4,0.1111111111111111,-0.058823529411764705
redgreen,18,24,12,7,8,0.38461538461538464,0.47368421052631576
kardashian,54,47,52,23,35,0.21348314606741572,0.27044025157232704
proficiently,12,7,1,1,3,0.6,0.6521739130434783
catcher,61,53,23,9,22,0.46987951807228917,0.5724137931034483
catches,205,154,88,43,47,0.626984126984127,0.5991091314031181
ehhhh,21,34,86,76,19,0.05,-0.26666666666666666
escalation,3,2,2,7,42,-0.8666666666666667,-0.8148148148148148
adrienne,85,13,5,8,6,0.8681318681318682,0.75
escalating,2,10,7,9,30,-0.875,-0.5294117647058824
mcgraths,5,11,9,5,3,0.25,0.3333333333333333
trouvais,3,14,6,4,2,0.2,0.4782608695652174
trouvait,2,5,7,1,1,0.3333333333333333,0.5555555555555556
countertop,101,74,53,29,76,0.14124293785310735,0.25
catchup,46,42,30,22,16,0.4838709677419355,0.3968253968253968
neuropathy,9,1,0,2,9,0.0,-0.047619047619047616
awaken,49,27,16,20,19,0.4411764705882353,0.3217391304347826
campustown,19,40,22,11,7,0.46153846153846156,0.5324675324675324
hookers,80,105,80,74,147,-0.29515418502202645,-0.08866995073891626
shortbread,265,222,73,31,19,0.8661971830985915,0.813780260707635
tokyos,7,6,5,1,4,0.2727272727272727,0.4444444444444444
tawook,16,11,2,1,0,1.0,0.9285714285714286
bettys,89,44,24,31,19,0.6481481481481481,0.453551912568306
awaits,155,108,35,16,12,0.8562874251497006,0.8075601374570447
jeopardize,15,4,3,0,12,0.1111111111111111,0.22580645161290322
foreclosed,19,2,6,2,13,0.1875,0.16666666666666666
humidor,279,139,44,34,31,0.8,0.7308488612836439
rafting,154,72,11,4,4,0.9493670886075949,0.9316239316239316
sneered,4,9,7,21,33,-0.7837837837837838,-0.6119402985074627
gullible,5,11,10,14,29,-0.7058823529411765,-0.4576271186440678
sandwicheswraps,6,12,9,5,0,1.0,0.5652173913043478
goodhumored,10,5,2,0,1,0.8181818181818182,0.875
tawnya,18,0,0,0,0,1.0,1.0
unusable,20,23,40,52,102,-0.6721311475409836,-0.5634517766497462
copout,7,6,6,4,2,0.5555555555555556,0.3684210526315789
deadbeat,6,3,4,4,13,-0.3684210526315789,-0.3076923076923077
misinforming,0,0,3,6,9,-1.0,-1.0
sarrasin,7,7,8,0,1,0.75,0.8666666666666667
cathartic,10,9,2,2,5,0.3333333333333333,0.46153846153846156
rafters,85,94,42,26,23,0.5740740740740741,0.5701754385964912
cortados,7,4,2,3,0,1.0,0.5714285714285714
cerveza,38,46,22,7,3,0.8536585365853658,0.7872340425531915
sceptic,9,5,2,0,1,0.8,0.8666666666666667
adventure,1912,1330,473,271,234,0.7819198508853681,0.7304510274886576
liable,29,16,13,17,138,-0.6526946107784432,-0.55
regretted,350,272,154,174,220,0.22807017543859648,0.22440944881889763
exclaim,29,17,16,8,14,0.3488372093023256,0.35294117647058826
coffeee,3,7,4,3,1,0.5,0.42857142857142855
coffeei,22,16,8,3,9,0.41935483870967744,0.52
coffees,1271,1097,532,338,283,0.6357786357786358,0.5844764135162261
pizzathey,5,5,1,1,5,0.0,0.25
beatdown,8,6,4,1,3,0.45454545454545453,0.5555555555555556
goddamit,2,5,3,5,2,0.0,0.0
eitherit,4,4,7,5,2,0.3333333333333333,0.06666666666666667
chockablock,1,13,6,1,0,1.0,0.8666666666666667
philipino,16,10,5,5,4,0.6,0.4857142857142857
rubbery,327,593,753,1067,1134,-0.5523613963039015,-0.4104453700736943
cervelo,14,1,1,0,0,1.0,1.0
muffin,2013,2051,1015,689,471,0.6207729468599034,0.555895865237366
weekbut,6,6,2,5,1,0.7142857142857143,0.3333333333333333
muffle,5,13,7,3,9,-0.2857142857142857,0.2
fteren,4,7,5,1,2,0.3333333333333333,0.5714285714285714
bifocal,11,5,1,0,6,0.29411764705882354,0.45454545454545453
mondayfriday,76,102,40,8,12,0.7272727272727273,0.797979797979798
nicaraguan,20,23,8,4,1,0.9047619047619048,0.7916666666666666
pizzathis,19,10,5,3,2,0.8095238095238095,0.7058823529411765
flagship,181,153,83,63,35,0.6759259259259259,0.5462962962962963
hongkong,20,14,7,3,5,0.6,0.6190476190476191
johnstons,11,4,1,2,1,0.8333333333333334,0.6666666666666666
bitcoin,18,5,2,3,1,0.8947368421052632,0.7037037037037037
bellows,8,3,5,1,4,0.3333333333333333,0.375
verrazano,17,12,6,4,5,0.5454545454545454,0.5263157894736842
burgerfries,16,27,16,7,3,0.6842105263157895,0.6226415094339622
humorless,6,4,6,6,8,-0.14285714285714285,-0.16666666666666666
bellota,31,23,6,6,0,1.0,0.8
assless,3,8,3,10,0,1.0,0.047619047619047616
cofffee,8,5,1,1,1,0.7777777777777778,0.7333333333333333
barkeeper,7,6,4,5,4,0.2727272727272727,0.18181818181818182
fingerprints,78,30,22,37,110,-0.1702127659574468,-0.15294117647058825
depicted,17,25,15,14,16,0.030303030303030304,0.16666666666666666
exactly,17712,9942,5362,3375,3961,0.634476076223873,0.5806801943412404
tutorials,11,11,1,1,3,0.5714285714285714,0.6923076923076923
weekday,1669,2396,1281,669,423,0.595602294455067,0.576497963932519
deduced,10,14,8,5,13,-0.13043478260869565,0.14285714285714285
voyager,13,9,2,1,1,0.8571428571428571,0.8333333333333334
voyages,6,8,3,0,0,1.0,1.0
incapacitated,10,5,2,2,6,0.25,0.30434782608695654
toland,16,0,0,0,0,1.0,1.0
pelted,8,10,0,3,2,0.6,0.5652173913043478
parrilla,44,19,10,11,6,0.76,0.575
wookie,51,5,0,2,2,0.9245283018867925,0.8666666666666667
austrian,22,36,9,3,2,0.8333333333333334,0.8412698412698413
merengue,48,44,21,2,5,0.8113207547169812,0.8585858585858586
cuisiner,9,16,3,1,2,0.6363636363636364,0.7857142857142857
cuisines,454,489,266,106,56,0.7803921568627451,0.7067873303167421
fingerlings,34,34,12,11,10,0.5454545454545454,0.5280898876404494
skyrocket,23,19,12,9,12,0.3142857142857143,0.3333333333333333
rathole,1,1,1,1,12,-0.8461538461538461,-0.7333333333333333
loosened,72,37,8,7,27,0.45454545454545453,0.5244755244755245
coating,539,580,370,275,221,0.41842105263157897,0.38575851393188854
marinate,131,110,60,36,27,0.6582278481012658,0.5855263157894737
mayonnaisebased,8,7,4,3,2,0.6,0.5
scrumptious,1945,1390,273,70,18,0.9816607233825777,0.948583114227286
seafoodand,9,4,3,1,0,1.0,0.8571428571428571
literal,116,105,54,48,78,0.1958762886597938,0.2737752161383285
thenboyfriend,9,5,1,1,2,0.6363636363636364,0.6470588235294118
hooking,171,78,32,26,32,0.6847290640394089,0.6221498371335505
overcooked,962,2614,3368,4099,2966,-0.5101832993890021,-0.3278827177896814
3item,2,6,5,2,4,-0.3333333333333333,0.14285714285714285
marinara,1711,1985,1085,722,504,0.5449209932279909,0.5018285249898415
discontinuing,12,8,2,4,16,-0.14285714285714285,0.0
obnoxiousness,8,9,3,0,3,0.45454545454545453,0.7
woolen,11,6,0,0,1,0.8333333333333334,0.8888888888888888
jiving,5,9,2,3,3,0.25,0.4
heirlooms,31,13,8,3,2,0.8787878787878788,0.7959183673469388
marinade,384,441,221,136,71,0.6879120879120879,0.5988372093023255
staffjust,7,4,4,1,1,0.75,0.6923076923076923
unorthodox,41,36,17,11,6,0.7446808510638298,0.6382978723404256
weekand,22,14,3,3,8,0.4666666666666667,0.5319148936170213
snippets,21,26,8,9,7,0.5,0.49206349206349204
recreate,366,202,95,44,42,0.7941176470588235,0.7370030581039755
exploratory,28,14,5,1,19,0.19148936170212766,0.3548387096774194
portray,34,31,29,25,34,0.0,0.04838709677419355
temptation,198,221,57,29,23,0.7918552036199095,0.7791932059447984
counteracted,7,7,4,1,3,0.4,0.5555555555555556
ahogada,27,15,7,2,2,0.8620689655172413,0.8260869565217391
unpretentious,834,636,154,34,12,0.9716312056737588,0.9393139841688655
guinness,680,851,387,226,127,0.6852540272614622,0.6252653927813163
minichimis,5,8,2,2,3,0.25,0.4444444444444444
atwood,108,88,36,17,20,0.6875,0.6824034334763949
sultry,91,85,18,11,5,0.8958333333333334,0.8333333333333334
bethel,12,10,2,3,4,0.5,0.5172413793103449
preconceived,85,57,26,13,8,0.8279569892473119,0.7423312883435583
pelusi,6,4,1,5,3,0.3333333333333333,0.1111111111111111
mastercraft,26,4,0,0,0,1.0,1.0
gridlock,6,9,9,2,7,-0.07692307692307693,0.25
kidville,14,0,2,6,1,0.8666666666666667,0.3333333333333333
hindsight,110,147,125,120,166,-0.2028985507246377,-0.053406998158379376
bacons,32,38,21,9,13,0.4222222222222222,0.5217391304347826
bacony,51,55,23,10,7,0.7586206896551724,0.7235772357723578
pelvis,17,3,3,2,16,0.030303030303030304,0.05263157894736842
pelvic,24,5,6,6,38,-0.22580645161290322,-0.2054794520547945
hospitable,918,388,137,93,88,0.8250497017892644,0.7565568258238063
asserted,3,9,4,3,5,-0.25,0.2
thursdaysunday,11,20,7,4,5,0.375,0.55
reichhaltig,10,13,0,0,0,1.0,1.0
sultan,30,11,8,3,2,0.875,0.782608695652174
unbaked,7,1,4,1,3,0.4,0.3333333333333333
evanston,7,3,2,3,2,0.5555555555555556,0.3333333333333333
licensed,312,78,41,39,228,0.15555555555555556,0.1872146118721461
licenses,35,28,19,17,64,-0.29292929292929293,-0.125
referrals,343,43,35,33,153,0.38306451612903225,0.34965034965034963
strengthened,13,5,3,2,1,0.8571428571428571,0.7142857142857143
fullpriced,6,15,12,1,8,-0.14285714285714285,0.4
kimberly,273,65,13,25,58,0.649546827794562,0.6057007125890737
wellchosen,20,11,7,1,0,1.0,0.9375
dibellas,8,15,12,0,4,0.3333333333333333,0.7037037037037037
ehnot,2,5,8,8,2,0.0,-0.17647058823529413
bellini,374,303,105,63,35,0.8288508557457213,0.7470967741935484
bellino,3,8,2,4,3,0.0,0.2222222222222222
ishiyaki,19,1,11,0,0,1.0,1.0
woofed,11,10,4,0,0,1.0,1.0
woofer,7,2,2,2,4,0.2727272727272727,0.2
foster,979,623,254,120,115,0.7897623400365631,0.7441480675013609
baccarat,49,48,28,11,6,0.7818181818181819,0.7017543859649122
nutritionally,21,17,3,4,3,0.75,0.6888888888888889
nabeyaki,16,23,14,7,3,0.6842105263157895,0.5918367346938775
krispie,46,45,16,10,6,0.7692307692307693,0.7009345794392523
committing,136,137,50,40,62,0.37373737373737376,0.456
comforted,132,27,12,8,17,0.7718120805369127,0.7282608695652174
comforter,148,226,125,149,290,-0.3242009132420091,-0.07995079950799508
toledo,20,8,8,11,4,0.6666666666666666,0.3023255813953488
jaurais,23,72,55,22,10,0.3939393939393939,0.49606299212598426
reptile,82,38,19,11,30,0.4642857142857143,0.4906832298136646
penthouses,17,11,7,2,1,0.8888888888888888,0.8064516129032258
65night,2,8,2,2,2,0.0,0.42857142857142855
provocatively,5,8,6,3,4,0.1111111111111111,0.3
terasse,44,82,34,13,3,0.8723404255319149,0.7746478873239436
rummage,36,41,23,13,15,0.4117647058823529,0.4666666666666667
preconception,7,5,4,4,1,0.75,0.4117647058823529
defiantely,8,11,2,0,1,0.7777777777777778,0.9
saltpepper,50,51,37,25,15,0.5384615384615384,0.4326241134751773
watercress,171,184,65,31,6,0.9322033898305084,0.8112244897959183
mehthe,1,3,12,12,1,0.0,-0.5294117647058824
grupon,5,5,1,3,5,0.0,0.1111111111111111
hovered,49,60,67,56,57,-0.07547169811320754,-0.018018018018018018
gruppe,17,30,15,10,6,0.4782608695652174,0.49206349206349204
sanwhiches,14,4,3,3,2,0.75,0.5652173913043478
knowledgeble,24,7,1,1,1,0.92,0.8787878787878788
fossil,65,54,21,13,11,0.7105263157894737,0.6643356643356644
semitruck,6,3,2,2,3,0.3333333333333333,0.2857142857142857
vehicular,11,10,3,5,2,0.6923076923076923,0.5
breathed,58,34,14,17,16,0.5675675675675675,0.472
philippes,26,9,9,3,0,1.0,0.8421052631578947
bimibap,4,11,1,0,0,1.0,1.0
conversationalist,101,36,10,4,0,1.0,0.9432624113475178
dirtiest,13,23,36,57,169,-0.8571428571428571,-0.7251908396946565
crawlers,36,22,12,3,8,0.6363636363636364,0.6811594202898551
puisse,29,21,16,8,5,0.7058823529411765,0.5873015873015873
stairmaster,17,14,10,5,2,0.7894736842105263,0.631578947368421
breather,110,91,45,11,12,0.8032786885245902,0.7946428571428571
breathes,40,20,6,1,5,0.7777777777777778,0.8181818181818182
abroad,183,117,35,20,38,0.6561085972850679,0.6759776536312849
gyozas,59,76,25,18,12,0.6619718309859155,0.6363636363636364
tractor,128,105,34,19,32,0.6,0.6408450704225352
substances,33,24,17,24,34,-0.014925373134328358,-0.008695652173913044
permettent,16,16,6,5,1,0.8823529411764706,0.6842105263157895
sandwitch,31,33,24,9,6,0.6756756756756757,0.620253164556962
bitchin,53,47,20,7,5,0.8275862068965517,0.7857142857142857
bitches,137,104,76,55,126,0.04182509505703422,0.14218009478672985
bitched,13,17,15,22,32,-0.4222222222222222,-0.2857142857142857
bitchen,10,7,1,1,0,1.0,0.8888888888888888
sneezes,2,4,2,4,6,-0.5,-0.25
vietnamienne,4,9,9,2,0,1.0,0.7333333333333333
sneezed,14,21,15,20,42,-0.5,-0.27835051546391754
mockingly,0,1,0,4,13,-1.0,-0.8888888888888888
ladybug,23,19,11,5,7,0.5333333333333333,0.5555555555555556
ofcourse,73,78,36,24,34,0.3644859813084112,0.4449760765550239
mariners,25,25,6,6,5,0.6666666666666666,0.639344262295082
mixings,7,10,3,1,2,0.5555555555555556,0.7
woohoo,639,267,105,32,24,0.9276018099547512,0.8835758835758836
weekend,19677,16630,7589,4426,5402,0.5692013238167392,0.5739460279614176
dbuter,3,14,4,0,0,1.0,1.0
lakshmi,18,1,1,0,0,1.0,1.0
marinera,23,14,6,7,6,0.5862068965517241,0.48
attests,23,15,3,1,3,0.7692307692307693,0.8095238095238095
maharani,27,41,23,14,5,0.6875,0.5632183908045977
crawled,62,34,35,45,165,-0.45374449339207046,-0.37254901960784315
crawler,11,5,2,1,1,0.8333333333333334,0.7777777777777778
copped,11,15,19,18,57,-0.6764705882352942,-0.48514851485148514
copper,735,608,226,149,147,0.6666666666666666,0.6388041488712629
wooing,5,6,10,2,2,0.42857142857142855,0.4666666666666667
greatness,516,261,160,113,63,0.7823834196891192,0.6306400839454355
sumptuously,8,6,2,0,1,0.7777777777777778,0.8666666666666667
discernable,10,15,21,28,15,-0.2,-0.2647058823529412
benefiting,26,20,6,5,4,0.7333333333333333,0.6727272727272727
bellmen,36,37,21,17,21,0.2631578947368421,0.3153153153153153
preparedness,10,11,7,6,7,0.17647058823529413,0.23529411764705882
elements,1043,791,412,217,174,0.7140509449465899,0.6485393258426966
redecorate,15,25,12,7,6,0.42857142857142855,0.5094339622641509
maharaja,41,31,19,12,7,0.7083333333333334,0.5824175824175825
bellman,143,144,76,131,161,-0.05921052631578947,-0.008635578583765112
montrals,9,7,1,3,0,1.0,0.6842105263157895
tempora,17,11,8,3,4,0.6190476190476191,0.6
baccanal,3,5,4,1,8,-0.45454545454545453,-0.058823529411764705
russells,20,8,2,2,0,1.0,0.8666666666666667
rendition,211,265,114,68,36,0.708502024291498,0.6413793103448275
blotted,5,4,4,7,6,-0.09090909090909091,-0.18181818181818182
awayit,8,8,2,2,1,0.7777777777777778,0.6842105263157895
frhstcken,12,7,0,3,2,0.7142857142857143,0.5833333333333334
giorgio,19,10,2,2,5,0.5833333333333334,0.6111111111111112
sleaziest,2,5,0,3,8,-0.6,-0.2222222222222222
awayso,3,4,2,4,5,-0.25,-0.125
selfinflicted,7,4,2,2,2,0.5555555555555556,0.4666666666666667
ausblick,8,9,4,2,0,1.0,0.7894736842105263
itison,5,27,23,8,3,0.25,0.4883720930232558
esophagus,17,15,10,3,16,0.030303030303030304,0.2549019607843137
runofthe,8,10,1,4,1,0.7777777777777778,0.5652173913043478
prsentiert,13,7,4,6,3,0.625,0.3793103448275862
atomizer,37,3,3,3,6,0.7209302325581395,0.6326530612244898
violinist,26,25,7,5,1,0.9259259259259259,0.7894736842105263
awaywe,5,2,4,5,4,0.1111111111111111,-0.125
arpaio,7,6,1,0,10,-0.17647058823529413,0.13043478260869565
volunteering,146,53,24,15,15,0.8136645962732919,0.7379912663755459
ampitheater,7,6,2,1,3,0.4,0.5294117647058824
kitties,218,45,13,9,21,0.8242677824267782,0.7952218430034129
badman,16,4,0,0,0,1.0,1.0
washingtons,15,16,8,5,2,0.7647058823529411,0.631578947368421
brazwells,6,12,7,8,3,0.3333333333333333,0.2413793103448276
verity,68,39,16,2,8,0.7894736842105263,0.8290598290598291
yummmmmmmmmm,21,5,0,0,0,1.0,1.0
6months,20,10,3,5,20,0.0,0.09090909090909091
morcilla,18,16,5,3,1,0.8947368421052632,0.7894736842105263
obtenir,6,9,6,1,6,0.0,0.36363636363636365
butteriness,10,16,3,2,1,0.8181818181818182,0.7931034482758621
napkin,514,628,473,555,686,-0.14333333333333334,-0.04154427192614352
beerand,11,13,8,5,10,0.047619047619047616,0.23076923076923078
cavatelli,113,105,39,27,9,0.8524590163934426,0.7165354330708661
holstered,6,5,0,5,6,0.0,0.0
watercraft,9,5,0,1,1,0.8,0.75
eccentricity,5,12,5,2,1,0.6666666666666666,0.7
naples,210,97,38,19,20,0.8260869565217391,0.7745664739884393
complaints,5078,6224,3188,1426,2053,0.4242041789370355,0.5292605371761044
caminos,17,25,14,9,7,0.4166666666666667,0.4482758620689655
midmarch,5,5,5,5,4,0.1111111111111111,0.05263157894736842
magnification,11,5,2,4,2,0.6923076923076923,0.45454545454545453
verify,295,203,153,198,827,-0.4741532976827095,-0.34602757715036114
faucets,120,50,46,39,80,0.2,0.17647058823529413
blokes,10,12,12,5,0,1.0,0.6296296296296297
seducing,7,3,4,2,0,1.0,0.6666666666666666
partitioned,35,40,21,8,9,0.5909090909090909,0.6304347826086957
saxophone,32,25,5,8,4,0.7777777777777778,0.6521739130434783
absent,101,178,208,224,174,-0.26545454545454544,-0.1757754800590842
complained,841,1006,900,1364,3615,-0.6225314183123878,-0.45883387049516555
